"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @morethanmySLE: As a cancer survivor, someone with 10+ #PreExistingConditions &amp; chronic illness #IDoNotLikeJoeBiden I LOVE HIM.

Why?

H…",FALSE,0,NA,2020-03-05 01:53:09,FALSE,NA,"1235382814109024261",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","YeahSureWhatev2",860,TRUE,FALSE,NA,NA
"@Roxyklo @LouiseMensch @patribotics @ewarren @JoeBiden I think Warren needs to stay in the Senate or move to dept o… https://t.co/UHB998KW6F",FALSE,0,"Roxyklo",2020-03-05 01:53:09,TRUE,"1235365496884736009","1235382813995732992","24073086","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","HardTruthonLife",0,FALSE,FALSE,NA,NA
"RT @morethanmySLE: As a cancer survivor, someone with 10+ #PreExistingConditions &amp; chronic illness #IDoNotLikeJoeBiden I LOVE HIM.

Why?

H…",FALSE,0,NA,2020-03-05 01:53:09,FALSE,NA,"1235382812817137665",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","here_tiz",860,TRUE,FALSE,NA,NA
"RT @AliVelshi: Hey I was on a flight without WiFi. Did I miss the tweet from Trump about how @JoeBiden #SuperTuesday surge is causing marke…",FALSE,0,NA,2020-03-05 01:53:09,FALSE,NA,"1235382810807951360",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ghmichaels",998,TRUE,FALSE,NA,NA
"@oh__yut @tify330 @RogerJimenez8 @D_jeneration @JoeBiden Some Warren supporters are saying “if you’d be nicer to me… https://t.co/U5fBW8WAjf",FALSE,0,"oh__yut",2020-03-05 01:53:08,TRUE,"1235366334805966849","1235382810304749570","928053733539368961","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Ricardohhhh",0,FALSE,FALSE,NA,NA
"@JoeBiden Joe ... You misspelled the word, \"buying.\"",FALSE,0,"JoeBiden",2020-03-05 01:53:08,FALSE,"1235374469079797762","1235382810103463940","939091","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Topsy71452",0,FALSE,FALSE,NA,NA
"@EricTrump @JoeBiden Babies smell so good.  @EricTrump you are so immature.  Grow up!",FALSE,0,"EricTrump",2020-03-05 01:53:08,FALSE,"1235062746741444608","1235382809709043712","39349894","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jordanroberts8",0,FALSE,FALSE,NA,NA
"@MobBossTrump @JoeBiden I never expected Biden to survive he's not that good.    But at this point he's all we got.… https://t.co/cjQZThjTg8",FALSE,0,"MobBossTrump",2020-03-05 01:53:08,TRUE,"1235285237820686336","1235382808849403909","1148595911142105091","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JayWhozblue",0,FALSE,FALSE,NA,NA
"RT @MikeBloomberg: Three months ago, I entered the race to defeat Donald Trump. Today, I'm leaving for the same reason. Defeating Trump sta…",FALSE,0,NA,2020-03-05 01:53:08,FALSE,NA,"1235382808585080832",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","RepGalonski",11804,TRUE,FALSE,NA,NA
"RT @naretevduorp: I just updated my profile banner to the @JoeBiden photo below. 

I invite all Democrats, even those like me who's first c…",FALSE,0,NA,2020-03-05 01:53:08,FALSE,NA,"1235382807192629248",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","emay68",98,TRUE,FALSE,NA,NA
"RT @JoeBiden: I'm grateful that over 125 elected officials and leaders from across the country have endorsed our campaign in the last few d…",FALSE,0,NA,2020-03-05 01:53:07,FALSE,NA,"1235382805984612352",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dreao2012",1723,TRUE,FALSE,NA,NA
"@go2tom42 @ravenx66 @Mom_Of_Critters @bourgeoisalien @JoeBiden Joe scares no one..
He can’t be president..
He’s got… https://t.co/eUCrFM7CcH",FALSE,0,"go2tom42",2020-03-05 01:53:07,TRUE,"1235356241188265985","1235382805653262337","36126330","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","biggainsbigbens",0,FALSE,FALSE,NA,NA
"WATCH: @MehdiRHasan points out that @JoeBiden spent most of February lying about being arrested in South Africa, tr… https://t.co/gszBJftnfT",FALSE,0,NA,2020-03-05 01:53:07,TRUE,NA,"1235382805040975872",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","ShareRightNet",0,FALSE,FALSE,NA,NA
"RT @ShavedWookieeRN: @JoeBiden not only voted for the #IraqWar but he championed it. @BernieSanders saw the lies being circulated by Bush A…",FALSE,0,NA,2020-03-05 01:53:07,FALSE,NA,"1235382803916673024",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","NotMeUs4POTUS",10,TRUE,FALSE,NA,NA
"@RuderTooter @chrislongview @JoeBiden Let me know.. I am down for it. My small apartment can fit 4/5 sleeping comfortable lol",FALSE,0,"RuderTooter",2020-03-05 01:53:07,FALSE,"1235382561117007872","1235382803606507523","1213183310068736000","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","_Jacquelyn2020",0,FALSE,FALSE,NA,NA
"@CalThunderSnow @cmon_now @Arriadna @fred_guttenberg @BernieSanders @JoeBiden This is an excellent summation. Bear… https://t.co/eODlQzhVtF",FALSE,0,"CalThunderSnow",2020-03-05 01:53:07,TRUE,"1235377531609481216","1235382803488964608","853699622795067392","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ochayethenews",0,FALSE,FALSE,NA,NA
"RT @nedryun: @joebiden has been lying for years. Difference is back in the day media used to call him out on it.  https://t.co/lIZrTubTKC",FALSE,0,NA,2020-03-05 01:53:07,FALSE,NA,"1235382802247540736",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","ThankQ4thehelp",2547,TRUE,FALSE,NA,NA
