"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@savvymike1 @abbydphillip @CNN @JoeBiden It should not be your mission to tell grown ass people who they should vot… https://t.co/Spt3mGPLp4",FALSE,0,"savvymike1",2020-03-08 12:15:48,TRUE,"1236482904655417344","1236626672008474624","18220515","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","CapiLady",0,FALSE,FALSE,NA,NA
"RT @KamauMandela: Michigan Lt. Gov. @Garlin Gilchrist said it best:

In 2016, I voted for @BernieSanders in the MI primary. Now I’m support…",FALSE,0,NA,2020-03-08 12:15:48,FALSE,NA,"1236626670603374593",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LaDiDa18578288",631,TRUE,FALSE,NA,NA
"@LouiseMensch finally https://t.co/ZWWkhDzUxx",FALSE,0,"LouiseMensch",2020-03-08 12:15:48,FALSE,NA,"1236626670313975810","19346439","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","reallyruth",0,FALSE,FALSE,NA,NA
"RT @KamalaHarris: .@JoeBiden has served our country with dignity and we need him now more than ever. I will do everything in my power to he…",FALSE,0,NA,2020-03-08 12:15:48,FALSE,NA,"1236626669181579264",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MomBall10",1476,TRUE,FALSE,NA,NA
"RT @scottwill42: @sebwhitmore @KamalaHarris @JoeBiden He was VP to the 1st Black President you twit. 
That’s one of the BIGGEST civil right…",FALSE,0,NA,2020-03-08 12:15:47,FALSE,NA,"1236626668099448832",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LarryKness",4,TRUE,FALSE,NA,NA
"Hashtags are silly but I have to admit #joemala made me smile https://t.co/1xIPh64gIb",FALSE,0,NA,2020-03-08 12:15:47,FALSE,NA,"1236626666866294784",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DaytimeDan",0,FALSE,FALSE,NA,NA
"@KamalaHarris @JoeBiden All. Right. https://t.co/F3vvxYEn2m",FALSE,0,"KamalaHarris",2020-03-08 12:15:47,FALSE,"1236622740930560001","1236626666019004417","30354991","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","SAStanleyNOFO",0,FALSE,FALSE,NA,NA
"RT @KamalaHarris: .@JoeBiden has served our country with dignity and we need him now more than ever. I will do everything in my power to he…",FALSE,0,NA,2020-03-08 12:15:47,FALSE,NA,"1236626665876475905",NA,"<a href=\"http://ubersocial.com\" rel=\"nofollow\">UberSocial for Android</a>","jkjhr",1476,TRUE,FALSE,NA,NA
"RT @thegopscaresme: @davidsirota @kokeshi_me @JoeBiden You are being mean and bullying Biden supporters by posting hateful facts that they…",FALSE,0,NA,2020-03-08 12:15:46,FALSE,NA,"1236626664030752775",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","kokeshi_me",1,TRUE,FALSE,NA,NA
"RT @KamalaHarris: .@JoeBiden has served our country with dignity and we need him now more than ever. I will do everything in my power to he…",FALSE,0,NA,2020-03-08 12:15:46,FALSE,NA,"1236626663389175809",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LindaWolff19",1476,TRUE,FALSE,NA,NA
