"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@D_jeneration @JoeBiden Smart lady..",FALSE,0,"D_jeneration",2020-03-05 23:24:36,FALSE,"1235346539842801665","1235707817618796551","59862199","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","bhamvince",0,FALSE,FALSE,NA,NA
"@VetsAboutFace @IWashington @JoeBiden Oh my! He said we hurt civians. Sorry to hear <U+2639><U+FE0F>",FALSE,0,"VetsAboutFace",2020-03-05 23:24:36,FALSE,"1235026472940625921","1235707817438429184","16662687","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Phyllis67709356",0,FALSE,FALSE,NA,NA
"RT @julesp__: Only one candidate refused to meet with @AdyBarkan and have a real conversation about healthcare- that was @JoeBiden.",FALSE,0,NA,2020-03-05 23:24:36,FALSE,NA,"1235707817417457671",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Linda1746",165,TRUE,FALSE,NA,NA
"RT @nedryun: @joebiden has been lying for years. Difference is back in the day media used to call him out on it.  https://t.co/lIZrTubTKC",FALSE,0,NA,2020-03-05 23:24:35,FALSE,NA,"1235707814456287233",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Keiththompsons1",3956,TRUE,FALSE,NA,NA
"@fred_guttenberg @BernieSanders @JoeBiden You know he’s made mad amounts of money from more donors. No amount of mo… https://t.co/QhaAIlInVr",FALSE,0,"fred_guttenberg",2020-03-05 23:24:35,TRUE,"1235706162907095047","1235707813919215616","967027984426242053","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","KentDeathWalrus",0,FALSE,FALSE,NA,NA
"@JoeBiden Do you have any Quid Pro Joe bobble heads left?",FALSE,0,"JoeBiden",2020-03-05 23:24:35,FALSE,"1235702883212918784","1235707813680148480","939091","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MH58USA",0,FALSE,FALSE,NA,NA
"RT @superyayadize: Is @JoeBiden in early stages of dementia or is he pretending to be to avoid potential child molestation charges? https:/…",FALSE,0,NA,2020-03-05 23:24:35,FALSE,NA,"1235707813617336321",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","IcallBSonU2",378,TRUE,FALSE,NA,NA
"@DystopianR @LivesKuato @davidaxelrod @AndrewGillum @BernieSanders @JoeBiden Gillum should stick to bribery and broadway tickets.",FALSE,0,"DystopianR",2020-03-05 23:24:35,FALSE,"1235705098329784324","1235707811377614849","1037725403547357184","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","KeithM_real",0,FALSE,FALSE,NA,NA
"@JoeBiden Lol .. ur slinging merch ?",FALSE,0,"JoeBiden",2020-03-05 23:24:35,FALSE,"1235702883212918784","1235707810752720897","939091","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","conservativewh4",0,FALSE,FALSE,NA,NA
"@JessicaTarlov lying b@tch corruption was mentioned in the call.  @JoeBiden is corrupt.  @realDonaldTrump is not af… https://t.co/yWm8pEkuE3",FALSE,0,"JessicaTarlov",2020-03-05 23:24:34,TRUE,NA,"1235707809687392258","3056746427","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cminsterman",0,FALSE,FALSE,NA,NA
