"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@connor50405477 @ewarren Nope, not a snowball chance in hell will I vote for Bernie.  I’d vote someone else if @ewarren drops out.",FALSE,0,"connor50405477",2020-03-03 17:17:05,FALSE,"1234843900331909121","1234890550400241664","1100171498705354753","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LJames73",0,FALSE,FALSE,NA,NA
"Socialism for the rich: an excellent intro into the life &amp; times of former GE CEO Jack Welch, who just passed away… https://t.co/ic4IUix02g",FALSE,0,NA,2020-03-03 17:17:04,TRUE,NA,"1234890550077263879",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Too_Much_Online",0,FALSE,FALSE,NA,NA
"RT @Lisuhhh16: Don’t forget to vote today. VOTE FOR BERNIE SANDERS",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890549900898304",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ratfanaccount",3,TRUE,FALSE,NA,NA
"RT @paulaptlb: @Billbrowder Not sure if this holds water, but I found this tooling around the web. https://t.co/4jPcwytNfG",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890549808828418",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","FunnygirlLee",1,TRUE,FALSE,NA,NA
"RT @daviddoel: Understand that regardless of what Bernie Sanders, AOC, or anyone else says, voters under 45 will not come out for Joe Biden…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890549678743553",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","NomadSimple",2568,TRUE,FALSE,NA,NA
"RT @GravelInstitute: We're proud to release the first video of our new series \"The Involved,\" celebrating those who are helping make the @B…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890549603315713",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","gracchus56",119,TRUE,FALSE,NA,NA
"RT @Shem_Infinite: Things I'm looking forward to on Super Tuesday: 

-Elizabeth Warren losing her home state, then dropping out of the race…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890549502414848",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","GregDavison4",583,TRUE,FALSE,NA,NA
"RT @LadyRedWave: Holy Sh*t 
I’m astounded -#Dems are imploding-So OBVIOUSLY  cheating - the powers that be (#Obama) PICKED #Biden over #Ber…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890549469077505",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","shoop_judy",85,TRUE,FALSE,NA,NA
"@jackiekcalmes @GOPChairwoman @FoxNews @BernieSanders Go to hell.",FALSE,0,"jackiekcalmes",2020-03-03 17:17:04,FALSE,"1234870161750052867","1234890549280301056","146167871","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Ejaymd11",0,FALSE,FALSE,NA,NA
"@BernieSanders I don’t think so u old goat. Ur following r a bunch of kids that r being conned by ur promises that… https://t.co/7jxKFWGBPi",FALSE,0,"BernieSanders",2020-03-03 17:17:04,TRUE,"1234501063404933122","1234890549276168193","216776631","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jocava327919",0,FALSE,FALSE,NA,NA
"RT @DUALIPA: What happens in America doesn’t stay in America. The whole world is crying out for kinder and more inclusive leadership.
If yo…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890549028630528",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","krieg_sharon",5390,TRUE,FALSE,NA,NA
"RT @RainBadass: <U+0001F6AB>Bernie -Trump 2020 <U+0001F1FA><U+0001F1F8><U+2665><U+FE0F>732
@RainBadass @WatrDi 
@toni_2ll @kbr_kag
@GreyBeard_Biker
@LilBarbiGal 
@KiltyJeremy 
@JMcCollum…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890548776824833",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","WillametteM",127,TRUE,FALSE,NA,NA
"@ananavarro @BernieSanders Love Love Ana Navarro. She always says what I am thinking.",FALSE,0,"ananavarro",2020-03-03 17:17:04,FALSE,"1234843092500590592","1234890548667961345","19568591","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","sarah4parker",0,FALSE,FALSE,NA,NA
"If you’re planning to vote Elizabeth Warren, don’t. You’re vote is likely going to help Biden in the long run by de… https://t.co/TOvdOG23LO",FALSE,0,NA,2020-03-03 17:17:04,TRUE,NA,"1234890548470697984",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mokokinar",0,FALSE,FALSE,NA,NA
"@Scissorcheffz @mannysoloway @BernieSanders Clearly you don't like weed or poor people.",FALSE,0,"Scissorcheffz",2020-03-03 17:17:04,FALSE,"1234880593143435264","1234890548164476928","1228126943419170816","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ThnkUFrTheVnum",0,FALSE,FALSE,NA,NA
"Says the infamous CNN cheater, @donnabrazile - wow Donna.  

‘COMPLETELY UNHINGED’: Donna Brazile tells… https://t.co/lQandnidXv",FALSE,0,NA,2020-03-03 17:17:04,TRUE,NA,"1234890548072370176",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","HoosierEm",0,FALSE,FALSE,NA,NA
"RT @mmpadellan: Personally, I will never understand why trump is so afraid to face Joe Biden, who I never thought of as a great candidate.…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890548009324544",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JoyceinReno",543,TRUE,FALSE,NA,NA
"RT @mynameisjro: Stonewall veteran Miss Major endorsed Bernie Sanders. This is really fucking huge.",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890548001091592",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","justinhastings2",1268,TRUE,FALSE,NA,NA
"@NPR This is suck crap. Biden just doesn’t have the support Bernie does. If Biden get there nom all the young voter… https://t.co/2sup9BUN7V",FALSE,0,"NPR",2020-03-03 17:17:04,TRUE,"1234707086006722565","1234890547988488193","5392522","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","qclabrat42",0,FALSE,FALSE,NA,NA
"<U+0001F4A5> Donna Brazile says, “Go to hell” twice on the possibility of the election being rigged against #Bernie. <U+0001F5F3> 

<U+0001F602> If… https://t.co/evYeXFrJFg",FALSE,0,NA,2020-03-03 17:17:04,TRUE,NA,"1234890547946491904",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LipstickPrime",0,FALSE,FALSE,NA,NA
"RT @ParkerMolloy: (People realize that people on the right are really hyping up the whole \"And they're going to rig it against Bernie!\" mes…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890547866697728",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AddieHillman1",700,TRUE,FALSE,NA,NA
"RT @michaelahrens: An unhinged @donnabrazile
just told @GOPChairwoman to \"Go to hell\" for citing @nytimes
reporting about superdelegates li…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890547741020161",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GunderzT",490,TRUE,FALSE,NA,NA
"RT @creynoldsnc: If you supported Bernie staying in the primary in 2016 long after he was mathematically viable but think Warren not droppi…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890547468341249",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","a_grdnr1",2723,TRUE,FALSE,NA,NA
"RT @shaunking: This notion that @BernieSanders is just popular in super-liberal cities is bullshit. 

Bernie won Alaska. 
Bernie won Wyomin…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890547459956739",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","seizthethings",67,TRUE,FALSE,NA,NA
"RT @katherineOma: If Biden does happen to get a lead over Bernie, how much you bet trump opens the Biden, Ukraine conspiracy theory again?",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890547342577664",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","pedi_suzanne",92,TRUE,FALSE,NA,NA
"RT @ProudResister: I’m just going to say it:

Boomers, you’re being selfish.

This election is about OUR FUTURE &amp; you’ve made it about your…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890547241930754",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","KissHardy",3253,TRUE,FALSE,NA,NA
"For those voting #SuperTuesday get out there and vote for #Bernie  He is the only and the right choice! He’s been f… https://t.co/Kgqz18jXkU",FALSE,0,NA,2020-03-03 17:17:04,TRUE,NA,"1234890547195760640",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MusicGeek628",0,FALSE,FALSE,NA,NA
"@Pappiness @thygergirl #IVoted for Bernie because it's time for Medicare for All. https://t.co/QBxSGmZoOY",FALSE,0,"Pappiness",2020-03-03 17:17:04,FALSE,"1234593082911449089","1234890547111788544","30726383","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","EndTheOligarch",0,FALSE,FALSE,NA,NA
"RT @GregRubini: 1. today Bernie Sanders will win California and Texas.
by a wide margin.
Lots of delegates.

and this is GOOD NEWS for us.…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890547107528706",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jimboazil",223,TRUE,FALSE,NA,NA
"@KwikWarren Because it will give him a talking point against whoever the candidate is, if it’s not Bernie.  They su… https://t.co/hid6wcCjkc",FALSE,0,"KwikWarren",2020-03-03 17:17:04,TRUE,"1234879899426598912","1234890547032051714","842432472","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","reensjp",0,FALSE,FALSE,NA,NA
"@mtrsport @bern_the_party @NateSilver538 Three exit polling I saw on Morning Joe on MSNBC yesterday had Biden ahead… https://t.co/gRax7xyC2n",FALSE,0,"mtrsport",2020-03-03 17:17:04,TRUE,"1234882881555779585","1234890546847649794","1053309409739358210","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BradleyPogue",0,FALSE,FALSE,NA,NA
"RT @GOPChairwoman: It’s ok, @donnabrazile.

I’d be having a bad day too if my party was still hopelessly divided.

Talk of a brokered conve…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890546797326336",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dquattrone",1665,TRUE,FALSE,NA,NA
"RT @BearNudel: I voted for Bernie Sanders because Joe Biden's \"sustain &amp; maintain\" platform (his words) is not sufficient change &amp; is a fun…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890546528825345",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","clairemicklin",691,TRUE,FALSE,NA,NA
"RT @the_vello: #WithTheseHands we will elect Bernie Sanders. 

#WithTheseHands we will change the world.
 https://t.co/sarPi6GxF7",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890546516197376",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","tracetheprophet",574,TRUE,FALSE,NA,NA
"@socialiststeve6 Does Bernie want open borders for America?",FALSE,0,"socialiststeve6",2020-03-03 17:17:04,FALSE,"1234822587655639040","1234890546415652864","966786162907066368","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","peachstatebaby",0,FALSE,FALSE,NA,NA
"You’re voting for a fraud who is full of empty promises, can’t work well with others, and is more about the name on… https://t.co/YtjcmuYb1I",FALSE,0,NA,2020-03-03 17:17:04,TRUE,NA,"1234890546411425793",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","johnrouzaut2",0,FALSE,FALSE,NA,NA
"RT @ShevrinJones: Our main focus should be beating Donald Trump, not ousting or organizing against Bernie Sanders. It’s counter intuitive.…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890546398674949",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Nudimud1",421,TRUE,FALSE,NA,NA
"RT @RoeVWadeBoggs: Take the Bernie journey, friends. They run the same playbook every time someone threatens the status quo with progress.…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890546193293313",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","OJIBAJO",3,TRUE,FALSE,NA,NA
"RT @anyaharris10: @bern_identity Husband and I, Mom &amp; Dad all early voted for Bernie in TN!  So happy I was able to show my parents that Be…",FALSE,0,NA,2020-03-03 17:17:04,FALSE,NA,"1234890546092503040",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Johnacus",3,TRUE,FALSE,NA,NA
"ALSO PLEASE DONT VOTE FOR WARREN. it may be upsetting (for some reason) for some of y’all but she is. just Not gett… https://t.co/boSSax5S0E",FALSE,0,"gaycervidae",2020-03-03 17:17:03,TRUE,"1234890232299950085","1234890546046435332","1085003590131945473","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","gaycervidae",0,FALSE,FALSE,NA,NA
